id_coder,text,del_ms,con_ms,so_ms,del_nca,con_nca,so_nca,agenda,del_com,si_com,con_com,del_age,si_age,con_age
14,"The Agency may , in circumstances clearly defined by the Commission in Guidelines adopted pursuant to Article 18 of Regulation ( EC )",0,0,0,0,0,0,0,0,0,0,1,0,0
15,Esma shall maintain a central database of administrative sanctions communicated to it .,0,0,0,0,0,0,0,0,0,0,1,0,0
16,"If the Commission considers that amendments to the specific directives in question are necessary in order to remedy the difficulties mentioned in paragraph 1 and to ensure the protection of human health , it shall initiate the procedure laid down in Article 9 with a view to adopting those amendments",0,0,0,0,0,0,0,1,0,0,0,0,0
17,"Where the business reorganisation plan is required to be notified within the Union State aid framework , the resolution authority may extend the period in paragraph 1 up to a maximum of two months since the application of the bail - in tool or until the deadline laid down by the Union State aid framework , whichever occurs earlier .",0,0,0,1,0,0,0,0,0,0,0,0,0
18,"In order to ensure the uniform application of this Article , ESMA may develop draft implementing technical standards on standard forms , templates and procedures for the provision of information to the competent authorities in application for registration set out in paragraph 1 and the conditions set out in paragraph 2 .",0,0,0,0,0,0,0,0,0,0,1,0,0
19,The Commission shall ensure that the list is kept up to date .,0,0,0,0,0,0,0,0,0,1,0,0,0
20,"Member States may , at the appropriate level , publish the information referred to in this paragraph .",1,0,0,0,0,0,0,0,0,0,0,0,0
21,it would be unduly burdensome for the institution to implement a rating system for these counterparties,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Eba shall monitor the range of practices in this area and , in accordance with Article 16 of Regulation ( EU )",0,0,0,0,0,0,0,0,0,0,0,1,1
23,"In the event of a change in the particulars communicated in accordance with the first subparagraph of paragraph 3 , the authorities of the home Member State shall inform the authorities of the host Member State accordingly .",0,1,0,0,0,0,0,0,0,0,0,0,0
24," rules relating to the available solvency margin , required solvency margin and the minimum guarantee fund that the reinsurance undertaking shall maintain in respect of finite reinsurance activities .",0,0,0,0,0,0,0,0,0,0,0,0,0
25,The Member State shall provide information on and .,0,1,0,0,0,0,0,0,0,0,0,0,0
26,That supervisory authority shall inform and forward the complete application to the other supervisory authorities within the college of supervisors without delay .,0,0,0,0,1,0,0,0,0,0,0,0,0
27,"Member States may provide that where the related insurance or reinsurance undertaking has its head office in a Member State other than that of the insurance or reinsurance undertaking for which the group solvency calculation is carried out , the calculation takes account , in respect of the related undertaking , of the Solvency Capital Requirement and the own funds eligible to satisfy that requirement as laid down in that other Member State .",1,0,0,0,0,0,0,0,0,0,0,0,0
28,"The Council , acting by a qualified majority on a proposal from the Commission , shall adopt rules for the application of this Article .",0,0,0,0,0,0,1,0,0,0,0,0,0
29,Italy shall ensure that at least 60 % of the advi ­ sers given the training specified in Article 7 ( 1 ) work in the Mezzogiorno .,0,1,0,0,0,0,0,0,0,0,0,0,0
30,"The Member States and the Commission shall , cooperate closely to ensure that this Regulation is complied with .",0,0,1,0,0,0,0,0,1,0,0,0,0
31,"If no opinion is delivered , the Commission shall without delay submit to the Council a proposal relating to the measures to be taken",0,0,0,0,0,0,1,0,0,0,0,0,0
32,"By way of derogation from the provisions of Article 11 of Directive 2001/20 / EC , the Agency shall make public part of the information on paediatric clinical trials entered in the European database .",0,0,0,0,0,0,0,0,0,0,0,0,1
33,"eu - LISA has declared the successful completion of a comprehensive test of the CRRS , which it has conducted in cooperation with the Member States authorities",0,0,0,0,0,0,0,0,0,0,1,1,0
34,"Subject to Articles 1 , 4 and 6 , the ECB shall cooperate closely with any public financial assistance facility including the European Financial Stability Facility ( EFSF ) and the ESM , in particular where such a facility has granted or is likely to grant , direct or indirect financial assistance to a credit institution which is subject to Article 4 .",0,0,0,0,0,0,0,0,0,0,0,1,1
35,"The ESA shall , through the Joint Committee , issue the common guidelines referred to in Article 3(8 ) , Article 7(5 ) , Article 8(5 ) , Article 9(6 ) , the third subparagraph of Article 11(1 ) , Article 12b and Article 21(4 ) in accordance with the procedure laid down in Article 56 of Regulation ( EU )",0,0,0,0,0,0,0,0,0,0,0,0,0
36,Competent authority of the Member States may require from the applicant further information concerning both the particulars supplied pursuant to    and the qualified person referred to in,0,0,0,1,0,0,0,0,0,0,0,0,0
37,Each Member State shall ensure that importers of the product concerned have free access to the quota for such time as the residual balance of the quota volume,0,1,0,0,0,0,0,0,0,0,0,0,0
38,And ( b ) the data needed for adjustment of the amounts paid provisionally in respect of the financial year for which final results are known .,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"In making that decision , the competent authority shall have regard , inter alia , to the nature , extent and gravity of the various instances of environmental damage concerned , and to the possibility of natural recovery .",0,0,0,0,1,0,0,0,0,0,0,0,0
40,"the needs of the health care systems of the Member States , and where possible , compatibility with other medical device identification systems that are used by stakeholders .",0,0,0,0,0,0,0,0,0,0,0,0,0
41,"At the end of each visit , the Agency shall draw up a report and .",0,0,0,0,0,0,0,0,0,0,0,0,1
42,The border authorities shall be entitled to request further clarification on the grounds for the temporary impossibility to give fingerprints .,0,0,0,1,0,0,0,0,0,0,0,0,0
43,"Assessment of joint deployment plans The Agency shall undertake an annual assessment of the effectiveness of each joint deployment plan , as well as an analysis , on the basis of the available evidence , of the existence of a risk that fishing activities are not compliant with applicable control measures .",0,0,0,0,0,0,0,0,0,0,1,0,0
44,"Implementing measures In accordance with the procedure referred to in Article 40(3 ) , the Commission shall adopt the implementing measures designed to amend non - essential elements of this Chapter by supplementing it by specifying the time - limits provided for in Articles 28 and 35 .",0,0,0,0,0,0,0,1,0,1,0,0,0
45,"Where the conversion fee has not been paid within the relevant period of three months pursuant to Article 139(4 ) , ( 5 ) or ( 6 ) , the Office shall inform the applicant that the request for conversion is deemed not to have been filed .",0,0,0,0,0,0,0,0,0,0,0,0,1
46,"If no opinion is delivered , the Commission shall , without delay , submit to the Council a proposal relating to the measures to be taken .",0,0,0,0,0,0,1,0,0,0,0,0,0
47,The competent authority shall immediately communicate to the Commission and the competent authorities of the other Member States the measures taken and any supporting data .,0,0,0,0,1,0,0,0,0,0,0,0,0
48,The representative of the Commission shall submit to the committee,0,0,0,0,0,0,0,0,0,1,0,0,0
49,"Member States may decide that the advertising of a medicinal product to persons qualified to prescribe or supply such products may , notwithstanding paragraph 1 , include only the name of the medicinal product , or its international non - proprietary name , where this exists , or the trademark , if it is intended solely as a reminder . """,1,0,0,0,0,0,0,0,0,0,0,0,0
50,"Competent authorities of different Member States shall cooperate with each other whenever necessary for the purpose of carrying out their duties under this Directive , making use of their powers , whether set out in this Directive or in national law .",0,0,0,0,0,1,0,0,0,0,0,0,0
51,"If the Commission does not request consultation within five working days after receiving the information referred to in paragraph 2 and has received no requests for consultation from a Member State by the end of that period , it shall inform the Member State concerned , which may then put the proposed measure into effect .",0,0,0,0,0,0,0,0,0,1,0,0,0
52,"However , if these measures are not in accordance with the opinion of the committee , they shall be communicated by the Commission to the Council forthwith .",0,0,0,0,0,0,0,0,0,1,0,0,0
53,"national regulatory authorities shall inform the national competition authority of their Member State , the Commission and the Agency where they have reasonable grounds to suspect that acts are being , or have been , carried out on wholesale energy market which are likely to constitute a breach of competition law .",0,0,0,0,1,0,0,0,0,0,0,0,0
54,The customs authorities shall grant the release of the goods or .,0,0,0,0,1,0,0,0,0,0,0,0,0
55,"Where Union law contains provisions for the Authority to provide a scientific output , including a scientific opinion , the staff of the Authority shall , at the request of a potential applicant or notifier , provide advice on the rules applicable to , and the content required for , the application or notification , prior to its submission .",0,0,0,0,0,0,0,0,0,0,0,1,0
56,"Notwithstanding paragraphs 1 and 2 , the administration of justice or the authority competent to decide on the disclosure of records according to national law may decide that the benefits of the disclosure of the records referred to in paragraphs 1 and 2 for any other purposes permitted by law outweigh the adverse domestic and international impact that such action may have on that or any future safety investigation .",0,0,0,0,0,0,0,0,0,0,0,0,0
57,"The Commission shall , by means of implementing acts , amend the implementing acts referred to in paragraphs 2 and 4 of this Article where the results of an assessment show that : ( a ) a pest not listed in the implementing act referred to in paragraph 2 of this Article fulfils the conditions referred to in Article 36",0,0,0,0,0,0,0,1,0,0,0,0,0
58,"If a competent authority considers or has reason to believe that a device has caused damage , it shall , upon request , facilitate the provision of the information and documentation referred to in the first subparagraph to the potentially injured patient or user and , as appropriate , the patient 's or user 's successor in title , the patient 's or user 's health insurance company or other third parties affected by the damage caused to the patient or user , without prejudice to data protection rules and , unless there is an overriding public interest in disclosure , without prejudice to the protection of intellectual property rights .",0,0,0,0,0,1,0,0,0,0,0,0,0
59,"In order to ensure uniform conditions of application of this Article , EBA shall develop draft implementing technical standards to establish standard forms , templates and procedures for such notification .",0,0,0,0,0,0,0,0,0,0,1,0,0
60,"Any decision as to the invalidity of a marriage taken under the Treaty referred to in paragraph 1 shall be recognised in the Member States on the conditions laid down in Chapter III , Section 1.3 .",0,0,0,0,0,0,0,0,0,0,0,0,0
61,"The supervisory authorities shall cooperate closely to ensure that such sanctions or measures are effective , especially when the central administration or main establishment of an insurance holding company is not located at its head office .",0,0,0,0,0,1,0,0,0,0,0,0,0
62,"The Commission shall promote the preparation of European standards relating to the control of leakages and to the recovery of substances leaking from commercial and industrial air - conditioning and refrigeration equipment , from fire - protection systems and from equipment containing solvents as well as , as appropriate , to technical requirements with respect to the leakproofness of refrigeration systems.2 .",0,0,0,0,0,0,0,0,1,0,0,0,0
63,The competent authority shall ensure that the transfer is necessary for the purpose of this Regulation and that the third country does not transfer the data to another third country unless it is given express written authorisation and complies with the conditions specified by the competent authority of the Member State .,0,0,0,0,1,0,0,0,0,0,0,0,0
64,"The Council , acting on a proposal from the Commis ­ sion , shall decide whether it should be extended or amended .",0,0,0,0,0,0,0,0,0,0,0,0,0
65,Member States shall cooperate with and .,0,0,1,0,0,0,0,0,0,0,0,0,0
66,Member States shall cooperate with neighbouring Member States where necessary to ensure adequate coverage of the TEN - T Core Network .,0,0,1,0,0,0,0,0,0,0,0,0,0
67,"If appropriate , the Commission shall present draft measures .",0,0,0,0,0,0,1,0,0,0,0,0,0
68,"The Council shall , acting by a qualified majority on a proposal from the Commission , adopt before 31 December 1992 veterinary and animal health rules applicable to the treatment of certain types of waste intended to be marketed locally as feedstuffs for certain animal categories .",0,0,0,0,0,0,1,0,0,0,0,0,0
69,The power to adopt delegated acts is conferred on the Commission subject to the conditions laid down in this Article .,0,0,0,0,0,0,0,1,0,1,0,0,0
70,"Within two months following receipt of any draft the Commission shall , after consulting the Standing Committee on Agricultural Structure , issue an opinion thereon .",0,0,0,0,0,0,0,1,0,1,0,0,0
71,The Commission shall list them in the register provided for in Article 104 of this Regulation .,0,0,0,0,0,0,0,1,0,0,0,0,0
72,"ask the flag Member State to notify the owner and , where appropriate , the operator of the fishing vessel concerned of the detailed statement of reasons for the intended listing and of the consequences which would result should the vessel be included in the Community IUU vessel list , as laid down in Article 37 .",0,0,0,0,0,0,0,0,0,0,0,0,0
73,The authorities of the Member State of import shall issue the import authorization in conformity with the rules and procedures established in Council Regulation ( EEC ),0,0,0,0,0,0,0,0,0,0,0,0,0
74,The power to adopt delegated acts is conferred on the Commission subject to the conditions laid down in this Article .,0,0,0,0,0,0,0,1,0,1,0,0,0
75,The Commission shall draw up a report in respect of the delegation of powers not later than nine months before the end of the four - year period .,0,0,0,0,0,0,0,0,0,1,0,0,0
76,"if no opinion is deli ­ vered , the Commission shall , without delay , submit to the Council a proposal relating to the measures to be taken",0,0,0,0,0,0,1,0,0,0,0,0,0
77,The Commission shall take the decision referred to in paragraph 3 of this Article within 180 days of receipt of the notification referred to in paragraph 1 of this Article .,0,0,0,0,0,0,0,1,0,0,0,0,0
78,The competent authorities of the Member States shall cooperate with each other and with ESMA and the ESRB whenever necessary for the purpose of carrying out their duties under this Directive or of exercising their powers under this Directive or under national law .,0,0,0,0,0,1,0,0,0,0,0,0,0
79,"However , for proceedings initiated pursuant to Article 5 ( 9 ) , the references to time limits shall only apply after a date which the Council shall specify in a Decision to be adopted by a qualified majority no later than 1 April 1995 on the basis of a Commission proposal to be submitted to the Council once the necessary budgetary resources have been made available .",0,0,0,0,0,0,0,0,0,0,0,0,0
80,"The Commission , the Agency and the competent authorities of the Member States shall , in collaboration , participate regularly in the exchange and analysis of information contained in the European Central Repository .",0,0,0,0,0,0,0,1,0,0,1,0,0
81,""" order to ensure that the objectives set out in    are met in the appropriate manner , the Agency shall perform the following tasks:(a )",0,0,0,0,0,0,0,0,0,0,1,0,0
82,"in respect of the posting of workers , the requirements laid down by Member States in accordance with Directive 96/71 / EC of the European Parliament and of the Council ( 15 )",0,0,0,0,0,0,0,0,0,0,0,0,0
83,"no liability to the holder of the relevant capital instrument shall remain under or in connection with that amount of the instrument , which has been written down , except for any liability already accrued , and any liability for damages that may arise as a result of an appeal challenging the legality of the exercise of the write - down power",0,0,0,0,0,0,0,0,0,0,0,0,0
84,Inform the Commission in order to facilitate the adoption of any such prohibition or restriction,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"Each Member State shall determine the maximum number of hours per week or days or months per year allowed for such an activity , which shall not be less than 15 hours per week , or the equivalent in days or months per year .",0,1,0,0,0,0,0,0,0,0,0,0,0
86,"If a Member State , after exhausting its second share , has used 90 % or more of the third share drawn by it , that Member State shall , in the manner and to the extent provided in paragraph 1 , draw a fourth share equal to the third .",0,0,0,0,0,0,0,0,0,0,0,0,0
87,The competent authorities responsible for exercising supervision on a consolidated basis may recognize the validity of the specific own - funds definitions applicable to the institutions concerned under Annex V in the calculation of their consolidated own funds .,0,0,0,1,0,0,0,0,0,0,0,0,0
88,"Member States may allow public authorities that supply spatial data sets and services to license them to , and/or .",1,0,0,1,1,0,0,0,0,0,0,0,0
89,"The competent authorities may , however , require that the prospectus include information specific to the market of the country of admission concerning , in particular , the income tax system , the financial organizations retained to act as paying agents for the issuer in the country of admission and the ways in which notices to investors are published .",0,0,0,1,0,0,0,0,0,0,0,0,0
90,"of the Madrid Protocol or if any such refusal has been withdrawn , the Office shall publish this fact , together with the number of the international registration and , where applicable , the date of publication of such registration in the Gazette published by the International Bureau",0,0,0,0,0,0,0,0,0,0,0,0,0
91,"Within 30 days of its adoption , the Agency shall forward the final opinion of the Committee to the Member States , the Commission and the person responsible for placing the veterinary medicinal product on the market together with a report describing the assessment of the veterinary medicinal product and the reasons for its conclusions .",0,0,0,0,0,0,0,0,0,0,0,0,1
92,The Member States and the Commission shall collaborate closely in order to ensure that this Regulation is observed .,0,0,1,0,0,0,0,0,1,0,0,0,0
93,"The transitional period laid down in paragraph 1 may be extended by the European Parliament and the Council , acting on a proposal from the Commission in accordance with the Treaty .",0,0,0,0,0,0,1,0,0,0,0,0,0
94,"The Commission shall subsequently , after consulting BEREC , submit biennial reports to the European Parliament and to the Council , accompanied , if appropriate , by a legislative proposal to amend the maximum wholesale charges for regulated roaming services laid down in this Regulation .",0,0,0,0,0,0,1,0,0,2,0,0,0
95,The Member States and the Commission shall cooperate closely to ensure that this Regulation is complied with .,0,0,1,0,0,0,0,0,1,0,0,0,0
96,"In order to ensure effective competition , national regulatory authorities shall ensure that the procedures for allocating individual numbers and/or numbering ranges are transparent , equitable and timely and the allocation is carried out in an objective , transparent and non - discriminatory manner .",0,0,0,0,1,0,0,0,0,0,0,0,0
97,"Esma shall , within 24 hours , issue an opinion on whether it considers that the more restrictive position limits are necessary to address the exceptional case .",0,0,0,0,0,0,0,0,0,0,1,0,0
98,"The Agency shall , upon request , inform any person concerned of the final decision .",0,0,0,0,0,0,0,0,0,0,0,0,1
99,"Member States shall encourage operators and animal professionals to acquire , .",0,0,1,0,0,0,0,0,0,0,0,0,0
100,The Member States and the Commission shall cooperate closely in order to ensure that this Regula ­ tion is complied with .,0,0,1,0,0,0,0,0,1,0,0,0,0
101,The fourth and fifth subparagraphs of Article 6(1 ) of Regulation ( EEC ),0,0,0,0,0,0,0,0,0,0,0,0,0
102,"If the council has not acted within three months of the proposal being submitted to it , the proposed measures shall be adopted by the Commission .",0,0,0,0,0,0,0,1,0,0,0,0,0
103,"The Administrative Board shall examine , in the framework of the preparation of the work programme , requests from Member States for technical assistance , as referred to in Article 2(c)(ii )",0,0,0,0,0,0,0,0,0,0,0,0,0
104,Competent authorities shall monitor the implementation of such restoration plan and .,0,0,0,0,0,1,0,0,0,0,0,0,0
105,""" enforcement measure "" shall mean any measure taken by the enforcing Member State with a view to implementing an expulsion decision .",0,0,0,0,0,0,0,0,0,0,0,0,0
106,"Acer shall monitor the execution of the tasks of the ENTSO for Electricity referred to in Article 30(1 ) , ( 2 ) and ( 3 ) and .",0,0,0,0,0,0,0,0,0,0,0,1,0
107,"payments due under contracts , agreements or obligations that were concluded or arose prior to the date on which the natural or legal person , entity or body referred to in    was included in Annex I ,",0,0,0,0,0,0,0,0,0,0,0,0,0
108,"The proposal shall be adopted by the Council unless it decides by a simple majority to reject the proposal , within a period of one month after its submission by the Commission .",0,0,0,0,0,0,1,0,0,0,0,0,0
109,"Notwithstanding the application of Articles 6 and 7 , Member States may reserve for the managing body of the airport or for another body the management of the centralized infrastructures used for the supply of groundhandling services whose complexity , cost or environmental impact does not allow of division or duplication , such as baggage sorting , de - icing , water purification and fuel - distribution systems .",1,0,0,0,0,0,0,0,0,0,0,0,0
110,Member States shall take all measures necessary to ensure that access to the tariff quota in question is restricted to cattle as specified in Article 1 ( 1 ) and ( 2 ) .,0,1,0,0,0,0,0,0,0,0,0,0,0
111,"When submitting the report provided for in Article 45(2 ) , the Board shall simultaneously submit that report directly to the national parliaments of the participating Member States .",0,0,0,0,0,0,0,0,0,0,0,0,0
112,"The author of a computer program shall be the natural person or group of natural persons who has created the program or , where the legislation of the Member State permits , the legal person designated as the rightholder by that legislation .",0,0,0,0,0,0,0,0,0,0,0,0,0
113,National approval of establishments which have not submitted applications for a derogation by the date referred to in the first subparagraph or whose applications have been refused by the Member State concerned,0,0,0,0,0,0,0,0,0,0,0,0,0
114,The Member States and the Commission shall coop ­ erate closely to ensure that this Regulation is com ­ plied with .,0,1,0,0,0,0,0,1,0,0,0,0,0
115,"The Council , acting on a Commission proposal in accordance with the voting procedure laid down in Article 43(2 ) of the Treaty , shall adopt general rules for the application of this paragraph and .",0,0,0,0,0,0,0,0,0,0,0,0,0
116,"To that end , Eurojust may provide services of common interest to the EPPO .",0,0,0,0,0,0,0,0,0,0,0,1,0
117,This Office shall periodically publish a Community Designs Bulletin containing entries open to public inspection in the register as well as other particulars the publication of which is prescribed by this Regulation or by the implementing regulation.2 .,0,0,0,0,0,0,0,0,0,0,0,0,0
118,The Authority shall submit its draft standards to the Commission for endorsement .,0,0,0,0,0,0,0,0,0,0,0,0,1
119,Shall indicate it in their fishing plans,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Esma shall publish on its website a list of the competent authorities designated in accordance with paragraphs 1 and 2 .,0,0,0,0,0,0,0,0,0,0,0,0,1
121,"When establishing those procedures , Member States may take into account the Union risk - based targeting mechanism referred to in paragraph 2 .",1,0,0,0,0,0,0,0,0,0,0,0,0
122,The Member States and the Commission shall cooperate closely to ensure that this Regulation is complied with .,0,0,1,0,0,0,0,0,1,0,0,0,0
123,"When the conditions in paragraph 1 are not met , a Member State may , without discrimination on grounds of nationality , impose conditions on , .",1,0,0,0,0,0,0,0,0,0,0,0,0
124,"This Article shall not prevent Member States or their competent authorities from concluding bilateral or multilateral arrangements with third countries , in accordance with Article 33 of Regulation ( EU )",1,0,0,1,0,0,0,0,0,0,0,0,0
125,"the Member State concerned has notified the Sanctions Committee that those funds or economic resources shall not be made available to or for the benefit of any person , entity or body listed in Annex II or III",0,0,0,0,0,0,0,0,0,0,0,0,0
126,the compartment covered by the application has been approved by the competent authority for the purposes of movements of animals and products thereof in accordance with : ( i ),0,0,0,0,0,0,0,0,0,0,0,0,0
127,"The withdrawal of recognition shall be decided by the Commission in accordance with the procedure referred to in Article 7(2 ) , after the organisation concerned has been given the opportunity to submit its observations.2 .",0,0,0,0,0,0,0,1,0,0,0,0,0
128,"The competent authorities may require that certain articles , to qualify for exemption on admission .",0,0,0,1,0,0,0,0,0,0,0,0,0
129,"In order to ensure the uniform application of this Article , ESMA may develop draft regulatory technical standards to further specify the information to be made available to ESMA in accordance with paragraph 1 .",0,0,0,0,0,0,0,0,0,0,1,0,0
130,"Following that review , the Commission shall submit a report to the European Parliament and to the Council , accompanied , if appropriate , by a legislative proposal ..",0,0,0,0,0,0,1,0,0,1,0,0,0
131,"The appropriate safeguards referred to in paragraph 1 may be provided for , without requiring any specific authorisation from the European Data Protection Supervisor , by : ( a ) a legally binding and enforceable instrument between public authorities or bodies",0,0,0,0,0,0,0,0,0,0,0,0,0
132,The Member States and the Commission shall cooperate closely to ensure that this Regulation is complied with .,0,0,1,0,0,0,0,0,1,0,0,0,0
133,The national authorities of the Member States shall facilitate the work of the Agency 's staff .,0,0,0,0,0,1,0,0,0,0,0,0,0
134,The request of the requesting authority for recovery of an administrative penalty and/or fine as well as the notification of a decision concerning such a penalty and/or fine shall be carried out without undue delay by means of a uniform instrument and .,0,0,0,0,0,0,0,0,0,0,0,0,0
135,"A first instalment , of 3 500 and 2 450 tonnes respec ­ tively , shall be allocated among the Member States",0,0,0,0,0,0,0,0,0,0,0,0,0
136,"A Member State may provide for exceptions from the visa requirement provided for by Article 1(1 ) or from the exemption from the visa requirement provided for by Article 1(2 ) as regards:(a ) holders of diplomatic passports , official - duty passports and other official passports",1,0,0,0,0,0,0,0,0,0,0,0,0
137,Eba shall monitor the amount of stable funding required to cover the funding risk linked to institutions ' holdings of securities to hedge derivative contracts .,0,0,0,0,0,0,0,0,0,0,0,1,0
138,"In such a case , the Commission shall repeal the act without delay following the notification of the decision to object by the European Parliament or by the Council .",0,0,0,0,0,0,0,0,0,1,0,0,0
139,"Member States shall notify the Commission of any measures adopted pursuant to paragraph 1 , or amendments and repeals thereof , before they enter into force .",0,1,0,0,0,0,0,0,0,0,0,0,0
140,"In order to facilitate the monitoring by the national regulatory or other competent authorities of compliance with the requirements of this paragraph , BEREC shall establish a database on the numbering resources with a right of extraterritorial use within the Union .",0,0,0,0,0,0,0,0,0,0,1,0,0
141,"Upon request of a notifier , the competent authority may grant confidential treatment only with respect to the following items of information , upon verifiable justification , where the disclosure of such information is demonstrated by the notifier to potentially harm its interests to a significant degree : ( a ) items of information referred to in points ( a ) , ( b ) and ( c ) of Article 39(2 ) of Regulation ( EC )",0,0,0,1,0,0,0,0,0,0,0,0,0
142,Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 116(3 ) .,0,0,0,0,0,0,0,1,0,1,0,0,0
143,"Furthermore , in this report the Agency may , if appropriate , recommend measures regarding the theoretical and practical examination of the professional knowledge of applicants for the harmonised certificate for rolling stock and relevant infrastructure .",0,0,0,0,0,0,0,0,0,0,0,1,0
144,"Notwithstanding paragraphs 2 and 3 , if the Commission is actively negotiating with the same third country on the basis of a country - specific mandate or on the basis of Council Decision 2004/ ... /EC of ... authorising the Commission to open negotiations with third countries on the replacement of certain provisions in existing bilateral agreements with a Community agreement ( 4 ) , the Member State concerned may be authorised , in accordance with the procedure referred to in Article 7(2 ) , to apply provisionally and/or conclude the agreement .",1,1,0,0,0,0,0,0,0,0,0,0,0
145,The Community assistance may also be extended to other rural areas with low levels of socio - economic development that are outside Objective 1 regions if they meet one or more of the following criteria :,0,0,0,0,0,0,0,0,0,0,0,0,0
146,"The relevant competent authorities shall work in full consultation with each other when carrying out the assessment if the proposed acquirer is one of the following : ( a ) a credit institution , assurance undertaking , insurance undertaking , reinsurance undertaking , investment firm or management company within the meaning of Article 1a , point 2 of Directive 85/611 / EEC ( hereinafter referred to as the UCITS management company ) authorised in another Member State or in a sector other than that in which the acquisition is proposed",0,0,0,0,0,1,0,0,0,0,0,0,0
147,"In accordance with paragraph 1 , the Agency shall cooperate in particular with the following Union institutions , bodies , offices and agencies , and international organisations : ( a ) European Police Office ( Europol ) in order to exchange information on cross - border crime to be included in the European situational picture",0,0,0,0,0,0,0,0,0,0,0,1,1
148,"However , if these measures are not in accordance with the opinion of the committee , they shall be communicated by the Commission to the Council forthwith .",0,0,0,0,0,0,0,0,0,1,0,0,0
149,"In order to ensure uniform application of this Article , ESMA may develop draft implementing technical standards to establish common procedures for competent authorities to cooperate in on - the - spot verifications and investigations .",0,0,0,0,0,0,0,0,0,0,1,0,0
150,the supervisory authorities must have effective access to the business premises of the service provider and .,0,0,0,1,0,0,0,0,0,0,0,0,0
151,Member States and the Commission shall cooperate closely to ensure that this Regulation is complied with .,0,0,1,0,0,0,0,0,1,0,0,0,0
152,"Without prejudice to any higher guarantees which Member States may prescribe , each Member State shall require the insurance referred to in Article 3 to be compulsory at least in respect of the following amounts : ( a ) in the case of personal injury , a minimum amount of cover of EUR 1 000 000 per victim or EUR 5 000 000 per claim , whatever the number of victims",0,1,0,0,0,0,0,0,0,0,0,0,0
153,The Agency shall prepare a draft for the technical and operating specifications for such a smartcard,0,0,0,0,0,0,0,0,0,0,0,1,0
154,"When considering whether to grant a licence , the competent authority of the Member State shall take into account all relevant circumstances and , in particular , the legitimacy of the intended use of the substance .",0,0,0,0,1,0,0,0,0,0,0,0,0
